hours,mg,glucose,Na,protien
28,0.0348,0.8,0.85,32.66705204
30,0.0348,0.8,0.85,35.86587133
30,0.024,0.4,0.85,34.30968896
28,0.024,0.4,0.85,30.50568766
28,0.0348,0.4,0.85,35.26068929
30,0.0348,0.4,0.85,30.50568766
28,0.024,0.8,0.85,43.38741934
30,0.024,0.8,0.85,47.53723894
28,0.0348,0.8,1.49,47.20845047
30,0.0348,0.8,1.49,50.46652841
28,0.024,0.4,1.49,31.32538876
30,0.024,0.4,1.49,32.13990474
28,0.0348,0.4,1.49,28.9836553
30,0.0348,0.4,1.49,29.12207691
28,0.024,0.8,1.49,45.16876701
30,0.024,0.8,1.49,44.19844767
29,0.0294,0.6,1.17,36.58730727
29,0.0294,0.6,1.17,35.52084579
29,0.0294,0.6,1.17,33.38792283
29,0.0294,0.6,1.17,34.45438431
29,0.0294,0.6,1.17,36.64541365
29,0.0294,0.6,1.17,35.02047031
31.19089023,0.0294,0.6,1.17,41.053972
26.80910977,0.0294,0.6,1.17,38.41900199
29,0.017569193,0.6,1.17,24.71420982
29,0.041230807,0.6,1.17,38.925727
29,0.0294,0.161821954,1.17,21.49438694
29,0.0294,1.038178046,1.17,52.60730204
29,0.0294,0.6,0.468915126,22.63921785
29,0.0294,0.6,1.871084874,32.75480371
